agreement_code,agreement_name,agreement_type,partner_entity,entity_type,country,start_date,end_date,auto_renew,owner_entity,status,admin_status,notes_vppd,submitted_by,submitted_at,source_record_id,agreement_summary,focus_area,agreement_signing_link,city,partner_website,partner_logo_link,students_exchanged,faculty_exchanged,joint_programs,sdgs,supports_qs_ranking,supports_ui_greenmetric,latitude,longitude,supports_qs,supports_greenmetric
UOB-AGR-248,MOU - Heriot-Watt University,Memorandum of Understanding,Heriot-Watt University,International University / Higher Education Institution,United Kingdom,2021-02-01,2026-02-01,لا,College of Science,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,248,"Non-binding MOU to promote collaboration aimed at globalising and raising the impact of graduate studies and research, including staff/faculty professional development, joint research projects, collaborative delivery of joint degree programmes, executive training courses, and research impact assessment.",Research Collaboration; Academic Collaboration; Faculty Development; Joint Programmes; Executive Training,Not found on UOB website after search,Edinburgh,https://www.hw.ac.uk/,https://www.hw.ac.uk/image-library/hwu-global-logo.xad4d4107.jpg?format=webp&quality=80,Not specified,Not specified,Potential joint degree programmes mentioned; no specific programme or number stated,"SDG 4, SDG 9, SDG 17",Yes,No / Not directly,55.90745,-3.32202,نعم,لا
UOB-AGR-253,Memorandum of Understanding between University of Bahrain and University of Houston,Memorandum of Understanding / MOU,University of Houston,International University / Higher Education Institution,United States,2021-06-01,2026-06-01,لا,College of Business Administration,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,253,"MOU between the University of Bahrain and the University of Houston to formalize academic collaboration for the benefit of students and faculty, including cooperation in instruction, research, faculty development, joint programs/collaboration, and exchange of faculty and students.",Academic Collaboration; Research Collaboration; Faculty Development; Joint Programs; Faculty and Student Exchange; Business Education,https://www.instagram.com/p/CUIb2VoMJWg/,"Houston, Texas",https://www.uh.edu/,https://www.uh.edu/brand/_img/uh-horizontal.png,Mentioned; no number specified,Mentioned; no number specified,Potential joint programs/collaboration mentioned; no specific number stated,"SDG 4, SDG 8, SDG 9, SDG 17",Yes,No / Not directly,29.71892,-95.33916,نعم,لا
UOB-AGR-258,MOU - George Mason University,Memorandum of Understanding / MOU,George Mason University,International University / Public Research University,United States,2022-03-03,2027-03-02,لا,Deanship of Graduate Studies & Scientific Research,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,258,"MOU between the University of Bahrain and George Mason University to support academia-to-industry technology transfer and the Bahrain Innovation and Technology Transfer Center (BITTC). Key provisions include IP protection strategy discussions, joint research projects, internships/visits with Mason’s Office of Technology Transfer, joint supervision of graduate theses, development of joint pedagogical programs or certificates, exchange of faculty and Ph.D. students, and cooperation between UoB’s business incubator and Mason Law School.",Technology Transfer; Innovation and Entrepreneurship; Intellectual Property; Research Collaboration; Graduate Studies; Faculty and Ph.D. Student Exchange; Business Incubator; Law and Innovation,https://www.uob.edu.bh/launching-bittc-at-uob-under-the-patronage-of-the-minister-of-education/,"Fairfax, Virginia",https://www.gmu.edu/,https://brand.gmu.edu/,Not specified,Exchange of faculty and Ph.D. students mentioned; no number specified,Potential joint pedagogical programs/certificates and joint supervision of graduate theses mentioned; no number specified,"SDG 4, SDG 8, SDG 9, SDG 17",Yes,No / Not directly,38.8313219,-77.3136985,نعم,لا
UOB-AGR-261,MOU - West Virginia University,Memorandum of Understanding / MOU,West Virginia University,International University / Public Research University,United States,2022-08-09,2027-08-08,لا,Deanship of Graduate Studies & Scientific Research,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,261,"MOU between the University of Bahrain and West Virginia University to foster international understanding, academic cooperation, faculty collaboration, and visiting programmes for qualified students. Key provisions include faculty exchange and collaboration in teaching, research and service; exchange of scholarly publications and bibliographic information; reciprocal/direct/sponsored student exchange; seminars, forums, workshops and conferences taught by both parties’ faculty; development of visiting programmes; and review/planning of future activities.",Academic Collaboration; Research Collaboration; Faculty Collaboration; Student Exchange; Visiting Programmes; Seminars and Workshops; Graduate Studies,https://www.uob.edu.bh/35229/,"Morgantown, West Virginia",https://www.wvu.edu/,https://scm.wvu.edu/brand/logo-and-identity-usage/,Mentioned; no number specified,Mentioned; no number specified,Not specified as joint degree programmes; visiting programmes and academic activities mentioned,"SDG 4, SDG 9, SDG 17",Yes,No / Not directly,39.6284519,-79.9554102,نعم,لا
UOB-AGR-267,MOU - Gulf Society for Maintenance & Reliability - الجمعية الخليجية للصيانة والاعتمادية,Memorandum of Understanding / MOU,Gulf Society for Maintenance & Reliability (GSMR),Professional Society / Non-Profit Association,Bahrain,2023-05-09,2026-05-08,لا,College of Engineering,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,267,"MOU between the University of Bahrain and the Gulf Society for Maintenance and Reliability (GSMR) to strengthen cooperation in maintenance, reliability and asset management. Key provisions include exchanging expertise through conferences, training, lectures, workshops and seminars; establishing a quarterly steering committee to oversee implementation; implementing joint projects in agreed areas; identifying key performance indicators for institutional programmes; reviewing the MOU periodically; and supporting technical, training, developmental and research activities.",Maintenance and Reliability; Asset Management; Engineering Training; Professional Development; Conferences and Workshops; Joint Projects; KPI Development,https://www.uob.edu.bh/34625/,Manama,https://gsmrgulf.org/,https://gsmrgulf.org/,Not specified,"Training, lectures, workshops and seminars mentioned; no number specified",Joint projects mentioned; no number specified,"SDG 4, SDG 8, SDG 9, SDG 17",Yes,No / Not directly,26.2285000,50.5860000,نعم,لا
UOB-AGR-268,MOU - KPMG Fakhro,Memorandum of Understanding / MOU,KPMG Fakhro,Private Sector / Professional Services Firm,Bahrain,2023-05-16,2028-05-15,لا,College of Business Administration,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,268,"MOU between the University of Bahrain and KPMG Fakhro to promote educational, professional and capacity-building collaboration. Key provisions include student internships at KPMG, campus placement opportunities, workshops for students and faculty, field trips to KPMG, professional development for KPMG staff by UoB faculty, job assistance for students through KPMG clients, assistance in providing surveys and publicly available data for UoB research, access to UoB library and facilities, and sharing/creation of educational materials and resources.",Professional Services; Accounting and Auditing; Student Internships; Employability; Capacity Building; Workshops and Field Trips; Research Data Support; Educational Resources,https://www.uob.edu.bh/34780/,"Sanabis, Manama",https://kpmg.com/bh/en.html,https://commons.wikimedia.org/wiki/File:KPMG_blue_logo.svg,"Internships, campus placement and field trips mentioned; no number specified","Workshops for students and faculty, and staff professional development mentioned; no number specified",Not specified as joint degree programmes; educational materials/resources and capacity-building activities mentioned,"SDG 4, SDG 8, SDG 17",Yes,No / Not directly,26.23094,50.55006,نعم,لا
UOB-AGR-270,International Cooperation Agreement with CERN concerning Scientific and Technical Cooperation in High-Energy Physics,International Cooperation Agreement / ICA,European Organization for Nuclear Research (CERN),International Intergovernmental Research Organization / Research Laboratory,Switzerland,2023-06-20,2028-06-19,لا,College of Science,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,270,"Agreement between the Government of the Kingdom of Bahrain, represented by the University of Bahrain, and the European Organization for Nuclear Research (CERN) to establish a framework for scientific and technical cooperation in high-energy physics. Key provisions include participation in CERN research projects, Bahrain/UoB participation in the CMS Experiment, collaboration in research and development including aluminium-based alloys, opportunities for scientists, researchers, engineers, teachers, students and technicians from Bahrain to participate in CERN projects and schools, support for projects in experimental and theoretical physics, accelerator and detector engineering and computing, non-military use of cooperation results, protocols for specific activities, and automatic five-year renewal unless terminated.",High-Energy Physics; Scientific and Technical Cooperation; Research Collaboration; CMS Experiment; STEM Training; Accelerator and Detector Engineering; Computing; Materials Research,https://www.uob.edu.bh/35571/,"Meyrin, Geneva",https://home.cern/,https://design-guidelines.web.cern.ch/guidelines/logo,CERN schools and Summer Student Programme mentioned; no number specified,"Scientists, researchers, engineers, teachers and technicians from Bahrain may participate; no number specified",Protocols for specific activities and CERN schools/programmes mentioned; no joint degree programme specified,"SDG 4, SDG 9, SDG 17",Yes,No / Not directly,46.2314284,6.0539718,نعم,لا
UOB-AGR-271,Renewal MOU - Cooperation on Confucius Institute at the University of Bahrain,Renewal Memorandum of Understanding / MOU,Chinese International Education Foundation; Shanghai University,Education Foundation / International University,China,2023-09-05,2028-09-04,لا,Vice President for Academic Programs and Graduate Studies,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,271,"Renewal MOU among the Chinese International Education Foundation, Shanghai University and the University of Bahrain to continue cooperation on the Confucius Institute at UoB. Key provisions include offering Chinese language instruction and related research, training Chinese language teachers, developing Chinese language teaching materials and resources, running language and cultural exchange programmes, administering Chinese language and culture examinations/certifications, conducting research and consulting on China's education and culture, and managing the Institute through a Board of Directors with joint operation by Shanghai University and UoB.",Chinese Language Education; Cultural Exchange; Teacher Training; Educational Resources; Student Exchange; International Academic Cooperation,https://www.uob.edu.bh/39051/,Beijing / Shanghai,https://ci.cn/en/xwzx/cbw; https://en.shu.edu.cn/,https://ci.cn/en/xwzx/cbw,Student exchange and study-in-China opportunities mentioned; no number specified,Teacher training and teaching/administrative staff support mentioned; no number specified,"Confucius Institute programmes, Chinese language/culture courses, exchange programmes and certifications mentioned; no joint degree programme specified","SDG 4, SDG 17",Yes,No / Not directly,31.317667,121.385664,نعم,لا
UOB-AGR-272,MOU - Association of Chartered Certified Accountants (ACCA),Memorandum of Understanding / MOU,Association of Chartered Certified Accountants (ACCA),Professional Accounting Body / Chartered Professional Association,United Kingdom,2023-09-18,2026-09-17,لا,College of Business Administration,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,272,"MOU between the University of Bahrain and the Association of Chartered Certified Accountants (ACCA) to support the advancement of the accounting profession and provide UoB accounting students and graduates with pathways to globally relevant ACCA qualifications. Key provisions include facilitating exemptions and ACCA qualification routes, supporting students in accredited Bachelor’s and Master’s programmes, disseminating information on the accounting profession, organising joint seminars, conferences, research projects and publications, providing opportunities and scholarships, enabling final-year students to register under the ACCA Accelerate Programme, exchanging academic and examination materials, supporting faculty through train-the-trainer events and learning resources, ACCA Research and Insights activities, and hosting information sessions, career talks and employer sessions.",Accounting Education; Professional Qualifications; Student Employability; Faculty Development; Professional Development; Research and Insights,https://www.uob.edu.bh/38013/,London,https://www.accaglobal.com/,https://www.accaglobal.com/middle-east/en/member/sectors/smp/marketing/logo.html,Opportunities and scholarships for accounting students and alumni mentioned; no number specified,"Faculty support, train-the-trainer events, learning resources and Research and Insights participation mentioned; no number specified","ACCA qualification route, ACCA Accelerate Programme and accredited programme support mentioned; not a joint degree programme","SDG 4, SDG 8, SDG 17",Yes,No / Not directly,51.50824,-0.12382,نعم,لا
UOB-AGR-274,MOU for Strategic Partnership between University of Bahrain and Shanghai University,Memorandum of Understanding / MOU,Shanghai University,International University / Public University,China,2023-10-18,2028-10-17,لا,Vice President for Academic Programs and Graduate Studies,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,274,"MOU for strategic partnership between the University of Bahrain and Shanghai University to support mutual friendship and facilitate academic research and educational cooperation. Key provisions include exchange of faculty members and researchers, exchange of students, organisation of joint research projects including conferences and meetings, exchange of information and publications, and other mutually agreed activities.",Strategic Partnership; Academic Research; Educational Cooperation; Faculty and Researcher Exchange; Student Exchange; Joint Research Projects; Conferences and Meetings; Information and Publications Exchange,https://www.uob.edu.bh/39051/,Shanghai,https://en.shu.edu.cn/,https://en.shu.edu.cn/,Student exchange mentioned; no number specified,Exchange of faculty members and researchers mentioned; no number specified,"Joint research projects, conferences and meetings mentioned; no joint degree programme specified","SDG 4, SDG 9, SDG 17",Yes,No / Not directly,31.317667,121.385664,نعم,لا
