agreement_code,agreement_name,agreement_type,partner_entity,entity_type,country,start_date,end_date,auto_renew,owner_entity,status,summary,goals,supports_sdg,sdg_goals,admin_status,notes_vppd,submitted_by,submitted_at
UOB-FRM-LOC-2023-001,"إطار تعاون استراتيجي مع هيئة التخطيط العمراني","أطار عمل","هيئة تنظيم مزاولة المهن الهندسية",حكومية,البحرين,2023-01-01,2025-12-31,نعم,"كلية الهندسة",سارية,,,,,معتمد,,,
UOB-MOU-INT-2023-002,"مذكرة تفاهم مع جامعة البحرين التقنية","مذكرة تفاهم","جامعة عبدالله السالم",جامعة,الكويت,2023-09-01,2026-08-31,نعم,"كلية إدارة الأعمال",سارية,,,,,معتمد,,,
UOB-MOU-LOC-2022-003,"اتفاقية شراكة مع أمانة العاصمة الجنوبية","أطار عمل","مجلس أمانة العاصمة",حكومية,البحرين,2022-06-01,2025-05-31,نعم,"كلية الهندسة",سارية,,,,,معتمد,,,
UOB-CNT-INT-2024-004,"عقد استخدام قواعد بيانات مع منصة المعرفة العربية","مذكرة تفاهم","دار المنظومة",خاصة,السعودية,2024-01-01,2026-12-31,لا,"كلية علوم الصحة والرياضة",سارية,,,,,معتمد,,,
UOB-PRP-INT-2024-005,"Memorandum of Understanding with Global Innovation University","مذكرة تفاهم","Howard University",جامعة,"الولايات المتحدة",2024-03-01,2027-02-28,لا,"كلية تقنية المعلومات",مقترح,,,,,معتمد,,,
UOB-FRM-LOC-2023-006,"إطار عمل مشترك مع وزارة المواصلات والاتصالات","أطار عمل","وزارة الصناعة والتجارة",حكومية,البحرين,2023-01-01,2025-12-31,نعم,"كلية الحقوق",سارية,,,,,معتمد,,,
UOB-MOU-INT-2022-007,"مذكرة تفاهم مع جامعة الخليج العربي","مذكرة تفاهم","جامعة الشارقة",جامعة,الإمارات,2022-10-01,2025-09-30,نعم,"كلية العلوم",سارية,,,,,معتمد,,,
UOB-MOU-INT-2024-008,"International Education Cooperation Agreement – Asia Network","مذكرة تفاهم","BRICS Education Council","منظمة دولية",دولية,2024-01-01,2026-12-31,نعم,"كلية البحرين للمعلمين",سارية,,,,,معتمد,,,
UOB-PRP-INT-2024-009,"Academic Collaboration Proposal with National University of Malaysia","مذكرة تفاهم","President University",جامعة,إندونيسيا,2024-04-01,2027-03-31,لا,"عمادة شؤون الطلبة",مقترح,,,,,معتمد,,,
UOB-MOU-LOC-2022-010,"مذكرة تفاهم مع صندوق العمل (تمكين)","أطار عمل","بنك الإسكان",حكومية,البحرين,2022-07-01,2025-06-30,نعم,"عمادة الدراسات العليا",سارية,,,,,معتمد,,,
UOB-COOP-LOC-2023-011,"اتفاقية تعاون مع أكاديمية الصحة واللياقة البدنية","مذكرة تفاهم","Fitness Academy",خاصة,البحرين,2023-01-01,2025-12-31,نعم,"كلية الآداب",سارية,,,,,معتمد,,,
UOB-CNT-LOC-2023-012,"Professional Training Framework with Financial Studies Institute","أطار عمل","معهد BIBF",حكومية,البحرين,2023-09-01,2026-08-31,لا,"كلية إدارة الأعمال",سارية,,,,,معتمد,,,
UOB-PRP-LOC-2024-013,"Digital Transformation Contract Proposal with TechForward","مذكرة تفاهم",Reboot,خاصة,البحرين,2024-05-01,2027-04-30,لا,"كلية الهندسة",مقترح,,,,,معتمد,,,
UOB-MOU-INT-2023-014,"مذكرة تفاهم مع جامعة مالطا","مذكرة تفاهم","University of Cyprus",جامعة,قبرص,2023-02-01,2026-01-31,نعم,"كلية علوم الصحة والرياضة",سارية,,,,,معتمد,,,
UOB-COOP-INT-2024-015,"اتفاقية تعاون أكاديمي مع شركة مايكروسوفت","مذكرة تفاهم",Huawei,خاصة,الصين,2024-01-01,2026-12-31,نعم,"كلية تقنية المعلومات",سارية,,,,,معتمد,,,
UOB-COOP-LOC-2023-016,"Partnership Agreement with Bahrain Development Bank","مذكرة تفاهم","Bahrain Trust",خاصة,البحرين,2023-06-01,2026-05-31,نعم,"كلية الحقوق",سارية,,,,,معتمد,,,
UOB-COOP-LOC-2022-017,"اتفاقية تعاون مع جمعية الطاقة المستدامة – البحرين","مذكرة تفاهم","SPE Bahrain","منظمة غير ربحية",البحرين,2022-03-01,2025-02-28,نعم,"كلية العلوم",سارية,,,,,معتمد,,,
UOB-COOP-LOC-2023-018,"مذكرة تفاهم مع شركة الابتكار في الطباعة ثلاثية الأبعاد","مذكرة تفاهم","شركة أبعاد",خاصة,البحرين,2023-11-01,2026-10-31,نعم,"كلية البحرين للمعلمين",سارية,,,,,معتمد,,,
UOB-FRM-LOC-2022-019,"إطار تعاون مع معهد الإدارة العامة","أطار عمل","معهد الدراسات القضائية والقانونية",حكومية,البحرين,2022-01-01,2024-12-31,نعم,"عمادة شؤون الطلبة",سارية,,,,,معتمد,,,
UOB-MOU-LOC-2023-020,"مذكرة تفاهم مع جمعية المدققين الداخليين البحرينية","مذكرة تفاهم","جمعية المحاسبين والمراجعين البحرينية","منظمة غير ربحية",البحرين,2023-05-01,2026-04-30,نعم,"عمادة الدراسات العليا",سارية,,,,,معتمد,,,
UOB-MOU-LOC-2022-021,"اتفاقية تعاون مع مركز الملك حمد للحوار والتعايش","مذكرة تفاهم","المؤسسة البحرينية للحوار","منظمة غير ربحية",البحرين,2022-09-01,2025-08-31,نعم,"كلية الآداب",سارية,,,,,معتمد,,,
UOB-COOP-LOC-2023-022,"إطار عمل مع هيئة المواصفات والمقاييس","أطار عمل","وزارة الصناعة والتجارة",حكومية,البحرين,2023-01-01,2025-12-31,نعم,"كلية إدارة الأعمال",سارية,,,,,معتمد,,,
UOB-MOU-INT-2023-023,"مذكرة تفاهم مع مجلس أمناء جامعة كندية","مذكرة تفاهم","Colorado College Board of Trustees",جامعة,"الولايات المتحدة",2023-08-01,2026-07-31,نعم,"كلية الهندسة",سارية,,,,,معتمد,,,
UOB-DOC-LOC-2024-024,"وثيقة تعاون مع وزارة شؤون البلديات والزراعة","أطار عمل","وزارة الصناعة والتجارة",حكومية,البحرين,2024-01-01,2026-12-31,نعم,"كلية علوم الصحة والرياضة",سارية,,,,,معتمد,,,
UOB-MOU-2026-001,"اتفاقية تعاون في البحث العلمي والتدريب","مذكرة تفاهم","جامعة الملك سعود","مؤسسة أكاديمية",السعودية,2026-08-13,2026-10-07,نعم,"كلية الهندسة",نشطة,"تعزيز التعاون البحثي وتبادل الخبرات","تعزيز البحث العلمي المشترك
تبادل الخبرات الأكاديمية
تطوير برامج تدريبية للطلبة",نعم,"الهدف 4 | الهدف 9",معتمد,,"admin@uob.edu.bh","2026-05-04 18:59:25"
